Vietnamese,English,Frequency,Status
"ơ","",190,NEEDS TRANSLATION
"a","",112,NEEDS TRANSLATION
"ơi","oh/hey",101,TRANSLATED
"mà","that/which",99,TRANSLATED
"hơ","",95,NEEDS TRANSLATION
"ta","I/we",86,TRANSLATED
"là","is/be",84,TRANSLATED
"con","classifier (animals)",74,TRANSLATED
"khoan","drill",71,TRANSLATED
"dô","",66,NEEDS TRANSLATION
"ai","who",55,TRANSLATED
"cho","give/for",55,TRANSLATED
"tình","feeling/love",55,TRANSLATED
"hò","sing work songs",54,TRANSLATED
"anh","you (older brother/male)",50,TRANSLATED
"đi","go",45,TRANSLATED
"em","you (younger)",45,TRANSLATED
"ư","(confirmation particle)",44,TRANSLATED
"có","have/there is",42,TRANSLATED
"Dô","",41,NEEDS TRANSLATION
"tang","mourning/sad",40,TRANSLATED
"cái","classifier",35,TRANSLATED
"i","",35,NEEDS TRANSLATION
"hỡi","",35,NEEDS TRANSLATION
"rằng","Rang (name)",28,TRANSLATED
"à","oh/ah",28,TRANSLATED
"không","not/no",27,TRANSLATED
"lên","go up",27,TRANSLATED
"về","return/go back",27,TRANSLATED
"tôi","I/me",24,TRANSLATED
"mẹ","mother",24,TRANSLATED
"hời","",24,NEEDS TRANSLATION
"À","oh/ah",23,TRANSLATED
"cây","classifier (trees/long objects)",22,TRANSLATED
"xa","",22,NEEDS TRANSLATION
"mấy","",22,NEEDS TRANSLATION
"thì","",21,NEEDS TRANSLATION
"nước","water/country",20,TRANSLATED
"lơ","",20,NEEDS TRANSLATION
"lại","again/come",19,TRANSLATED
"chim","bird",19,TRANSLATED
"nhớ","remember/miss",19,TRANSLATED
"Ơ","",19,NEEDS TRANSLATION
"ru","lull",19,TRANSLATED
"làm","do/make/work",18,TRANSLATED
"đây","",18,NEEDS TRANSLATION
"biết","",18,NEEDS TRANSLATION
"người","person",18,TRANSLATED
"chi","",18,NEEDS TRANSLATION
"bằng","equal/by",18,TRANSLATED
"bồng","carry in arms",17,TRANSLATED
"ăn","eat",17,TRANSLATED
"đưa","ferry/transport",17,TRANSLATED
"bên","side/beside",17,TRANSLATED
"Ai","who",16,TRANSLATED
"chồng","husband",16,TRANSLATED
"ra","go out",16,TRANSLATED
"hoa","flower",16,TRANSLATED
"bạn","",16,NEEDS TRANSLATION
"Hò","sing work songs",16,TRANSLATED
"để","",15,NEEDS TRANSLATION
"qua","cross/over",15,TRANSLATED
"trên","on/above",15,TRANSLATED
"lấy","",15,NEEDS TRANSLATION
"nhau","each other",15,TRANSLATED
"nó","",15,NEEDS TRANSLATION
"cầu","bridge",14,TRANSLATED
"sang","cross over",14,TRANSLATED
"Con","classifier (animals)",14,TRANSLATED
"mình","oneself",14,TRANSLATED
"còn","",14,NEEDS TRANSLATION
"thương","love/pity",14,TRANSLATED
"lý","folk song genre / unit of distance",14,TRANSLATED
"ba","three",14,TRANSLATED
"ố","",14,NEEDS TRANSLATION
